Parts,r,Cost,Total Cost,Weight,Total Weight,Provider,
,,,,,,,
Drive/Weapon motor,2,$34.59,$69.18,156,312,HobbyKing,PROPDRIVE v2 3542 1250KV Brushless Outrunner Motor
ESC,2,$30.00,$60.00,13.9,27.8,Amazon,HGLRC Specter 90A 8S BLheli32 Single ESC
Battery,1,$62.99,$62.99,370,370,Amazon,OVONIC 4S LiPo Battery 3500mAh 14.8V 130C
Reciever,1,$5.67,$5.67,0.9,0.9,Aliexpress,FS2A 4CH AFHDS 2A 
Power switch,1,$12.50,$12.50,3,3,Repeat Robotics,Lynx Anti-Spark Switch
MCU,1,$9.95,$9.95,2.6,2.6,Adafruit,Adafruit ItsyBitsy 32u4 - 5V 16MHz
xt90 connector,1,$12.99,$12.99,18,36,Amazon,xt90 connector
Buck Converter,1,$3.55,$3.55,3.85,3.85,Amazon,Micro voltage regulator
N-Channel mosfet,1,$7.99,$7.99,negligible,negligible,Amazon,"N-Channel Enhancement-Mode MOSFET Transistor 60V 115mA,SOT-23."
Accelerometer,1,$25,$25,Unknown,Unknown,Adafruit,Adafruit H3LIS331 Ultra High Range Triple-Axis Accelerometer 
Pin headers,1,$5.73,$5.73,negligible,negligible,Amazon,40 pin Breakable Pin Header
P-Channel mosfet,1,$2.83,$2.83,negligible,negligible,Aliexpress, SUM110P06-07L-E3 p channel mosfet
Blue LED,1,$6,$6,2.8,2.8,Amazon,Clear blue LED Diode Lights 
Zener Diode,1,$6,$6,negligible,negligible,Amazon,15v zener diode
Resistor set,1,$7,$7,negligible,negligible,Amazon,0805 Chip Resistor Assortment Kit
Ceramic Capacitor 47uf,1,$2.62,$2.62,negligible,negligible,Aliexpress,0805 47UF 25V X7R M
Electrolytic Capacitor,1,$9,$9,33,33,Amazon,4700uF 35V 18x30mm Electrolytic Capacitor
Weapon,3,$10,$31,,,SendCutSend,ar500 steel weapon
PCB,1,$27.50,$27.50,,,JLCPCB,pcb for power distrubution and connections to mcu and escs
,,,,,,,
Body,1,$0.00,$0.00,$0.00,$384.00,,
,,,$367.82,,1175.95,,